Run,Event,dimuon_mass_GeV,dimuon_pt_GeV,leading_muon_pt_GeV,subleading_muon_pt_GeV,Q1,Q2,Type1,Type2,opposite_sign,both_global
146511,467010531,2.87786,6.872900710834764,6.59934,0.820107,-1,1,G,T,True,False
146514,17234030,3.45442,9.860899654260761,7.98479,2.39636,-1,1,G,T,True,False
146514,18054100,3.30029,9.992848842167081,6.25349,4.06972,1,-1,G,G,True,True
146514,18146914,3.51397,6.2042904424357825,3.65073,3.34445,-1,1,G,G,True,True
146514,18453519,3.09266,10.303365500951424,5.51034,5.04964,1,-1,G,G,True,True
146514,21912491,3.0906,11.779287110705342,6.31761,5.54089,1,-1,G,G,True,True
146514,21998260,3.1418,7.323681920484872,6.95508,0.991531,1,-1,G,T,True,False
146514,22785536,3.0406,10.617681353997256,9.81605,1.2233,1,-1,G,T,True,False
146514,23587446,3.4116,3.521970399154712,2.8335,2.06511,-1,1,G,T,True,False
146514,23974695,3.41381,9.167466028400431,7.0092,2.21427,1,-1,G,G,True,True
146514,75893861,3.13685,9.590384941768498,4.82463,4.76682,1,-1,G,G,True,True
146514,76268336,3.07107,17.50471796986458,9.50038,8.26134,1,-1,G,T,True,False
146514,76732409,3.07802,18.39434298537341,11.5477,6.97755,-1,1,G,G,True,True
146514,79617849,2.83288,14.747615654070998,8.36463,6.41938,-1,1,G,G,True,True
146514,79728809,3.08767,11.689507431303511,6.14863,5.56644,-1,1,G,G,True,True
146514,79787155,2.84842,10.678457179578894,9.62098,1.23655,1,-1,G,T,True,False
146514,144415044,3.17632,9.226156285826727,5.99599,3.74069,1,-1,G,T,True,False
146514,145693485,3.0399,9.527801590151842,7.99021,1.73476,1,-1,G,T,True,False
146514,146111981,3.47303,11.997614804095187,10.5437,1.91074,-1,1,G,T,True,False
146514,146155376,3.07352,12.832277527952707,7.91301,4.95569,-1,1,G,G,True,True
146514,146645366,3.04603,9.875626676560834,6.02528,4.3069,-1,1,G,G,True,True
146514,147023561,3.06443,4.404195304778189,3.61378,1.59516,-1,1,G,T,True,False
146514,147611403,3.04674,11.043431718105383,5.70787,5.69464,-1,1,G,G,True,True
146514,147808169,2.76704,25.625272895893225,21.4448,4.24536,1,-1,G,G,True,True
146514,148259832,3.1006,6.981764782954236,4.13602,3.44942,-1,1,G,G,True,True
146514,148704509,2.72471,7.683000468760951,6.1942,1.65055,1,-1,G,T,True,False
146514,149129077,2.76715,2.9748805616528537,2.16448,1.85453,-1,1,G,T,True,False
146514,149150720,3.53876,6.618787439726479,5.56119,1.86182,-1,1,G,T,True,False
146514,149210911,3.46849,9.73255204496873,9.39011,0.908503,1,-1,G,T,True,False
146514,195232570,2.98949,7.3519501612905405,3.96162,3.79856,-1,1,G,G,True,True
146514,196303644,2.75696,9.842160193915563,9.07827,0.950406,-1,1,G,T,True,False
146514,196594968,2.84618,8.137335256822407,7.11524,1.34533,-1,1,G,T,True,False
146514,197222807,3.53837,10.955269967906041,9.75231,1.35578,-1,1,G,T,True,False
146514,197378635,2.74544,7.460310248956529,6.89195,0.994233,1,-1,G,T,True,False
146514,197727644,3.07069,15.69165374023111,10.811,4.93973,-1,1,G,G,True,True
146514,198909702,3.08116,20.438703319149187,14.1452,6.32826,-1,1,G,G,True,True
146514,199114090,2.73905,4.117403423129801,2.61541,2.04793,-1,1,G,T,True,False
146514,199362423,3.01088,6.379840203026169,5.46138,1.57605,-1,1,G,G,True,True
146514,200615527,3.40438,9.81823434214625,6.50111,3.32562,-1,1,G,G,True,True
146514,200764976,2.69948,11.599509466778155,9.51169,2.37691,-1,1,G,T,True,False
146514,201167668,3.04598,9.597193775092851,5.39235,4.26948,1,-1,G,T,True,False
146514,201551771,3.38611,4.8417722136511125,4.09557,1.78268,-1,1,G,T,True,False
146514,201712147,3.10222,7.858090564723723,4.35684,3.51474,1,-1,G,G,True,True
146514,201826966,3.21019,13.105867586219219,9.24428,4.21703,1,-1,G,T,True,False
146514,201969506,3.08292,9.78159200507259,6.22577,3.81942,-1,1,G,G,True,True
146514,202540552,3.40939,9.932024657017319,5.72475,4.21747,-1,1,G,G,True,True
146514,204329326,3.13227,13.49389422108014,12.3326,1.47593,-1,1,G,T,True,False
146514,253505311,3.17286,6.447578334382607,4.75723,2.42412,1,-1,G,T,True,False
146514,253666872,3.05169,9.191445171490498,8.13786,1.52725,1,-1,G,T,True,False
146514,253670281,2.94764,8.748212071566682,7.87882,1.26831,-1,1,G,T,True,False
146514,253934379,3.10332,5.793308994434873,3.2987,3.26561,1,-1,G,G,True,True
146514,255030672,3.08001,8.827088919598578,5.16317,3.73893,-1,1,G,G,True,True
146514,255263655,3.10644,9.893282102955975,6.18946,3.86362,-1,1,G,G,True,True
146514,255357016,3.0832,10.823110037900381,5.84501,4.98694,1,-1,G,G,True,True
146514,255592153,2.88565,28.334459336188154,16.0037,12.3978,1,-1,G,G,True,True
146514,258355357,3.10542,9.65825746971471,5.17973,4.47932,-1,1,G,G,True,True
146514,258994563,3.09336,7.865946196713097,4.15256,4.01817,-1,1,G,G,True,True
146514,259882831,3.101,6.878762704398589,3.70674,3.21729,1,-1,G,G,True,True
146514,268802056,3.08124,7.03502784627211,3.88638,3.20359,-1,1,G,G,True,True
146514,268971236,2.98238,8.245497976184884,7.31492,1.44788,-1,1,G,T,True,False
146514,269156940,3.05809,14.41720442376569,9.18868,5.3432,1,-1,G,G,True,True
146514,269242965,3.0763,10.84232924647232,7.41227,3.76593,1,-1,G,G,True,True
146514,269354373,3.22958,7.037522137331008,4.1704,3.56166,-1,1,G,G,True,True
146514,273406406,3.01668,5.75189070487166,4.30845,2.16958,-1,1,G,T,True,False
146514,352758884,2.68195,11.174334407826535,9.02065,2.46775,-1,1,G,T,True,False
146514,353409658,2.87416,9.649984063225181,6.32399,3.62331,-1,1,G,T,True,False
146514,353993200,2.86865,13.141413399435084,12.4261,0.968433,1,-1,G,T,True,False
146514,354749522,2.63301,11.880291227785621,8.62574,3.5406,-1,1,G,T,True,False
146514,355791339,3.50848,12.425516427243577,7.19091,5.71401,1,-1,G,G,True,True
146514,356217637,3.17843,7.476395515654587,5.09807,2.64146,1,-1,G,G,True,True
146514,356751413,2.67396,7.401799870021413,6.32735,1.43559,-1,1,G,T,True,False
146514,376767775,2.62813,10.919243473052333,6.84075,4.18871,-1,1,G,G,True,True
146514,377960874,3.18389,6.936349941761588,5.87803,1.63265,-1,1,G,T,True,False
